title,link,published,source
"""AI, 사람 대체할 수 있을까""…채널톡, '넥스트 CX 세미나' 개최 - 머니투데이",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vbmV3cy5tdC5jby5rci9tdHZpZXcucGhwP25vPTIwMjMxMTEwMTExODU3ODc2MTjSAT1odHRwczovL20ubXQuY28ua3IvcmVuZXcvdmlld19hbXAuaHRtbD9ubz0yMDIzMTExMDExMTg1Nzg3NjE4?oc=5,2023-11-10 23:30:00,머니투데이
"홍은택, 카톡 사업영역 확대·AI에 집중 - 딜사이트",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vZGVhbHNpdGUuY28ua3IvYXJ0aWNsZXMvMTEyNzg20gEA?oc=5,2023-11-10 07:05:13,딜사이트
"채널코퍼레이션, 'Next CX 세미나' 개최…CX 문화 혁신 - 네이트 뉴스",https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjA2MjI10gEA?oc=5,2023-11-10 09:20:00,네이트 뉴스
"네이버·카카오, 침체기 없는 커머스…경쟁력은 '셀러와 상생' - 디지털데일리",https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vd3d3LmRkYWlseS5jby5rci9wYWdlL3ZpZXcvMjAyMzExMTAxMDM3NTI1NTU4NNIBAA?oc=5,2023-11-10 11:17:17,디지털데일리
2024 카카오 채용 연계형 겨울 인턴십 - 법률저널,https://news.google.com/rss/articles/CBMiN2h0dHA6Ly93d3cubGVjLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz03NDQ2NTnSAQA?oc=5,2023-11-10 09:45:35,법률저널
"자이냅스, 챗GPT 연동 AI 챗봇 솔루션 '듀얼톡 3.0' 출시 - AI타임스",https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3LmFpdGltZXMuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0xNTUwOTHSAQA?oc=5,2023-11-10 15:24:56,AI타임스
"'진안 25점 12리바운드' BNK, 신한은행 꺾고 첫 승리 : 네이트 스포츠 - 네이트",https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vc3BvcnRzLm5ld3MubmF0ZS5jb20vdmlldy8yMDIzMTExMW4wMDUxMdIBAA?oc=5,2023-11-11 02:25:00,네이트
"카카오, 서서히 보이는 터널의 끝···개편된 '톡비즈' 성장 이끄나 - 증권일보",https://news.google.com/rss/articles/CBMiM2h0dHA6Ly93d3cucy1kLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz03MDgxOdIBAA?oc=5,2023-11-10 18:18:29,증권일보
"경기도-경기도교육청, 복지 사각지대 위기가구 발굴 업무협약 - 세계환경신문",https://news.google.com/rss/articles/CBMiMWh0dHA6Ly93d3cuZS1uZXdzcC5jb20vbmV3cy9hcnRpY2xlLmh0bWw_bm89NTQyMjLSAQA?oc=5,2023-11-10 13:16:21,세계환경신문
"서울 중구, 지방세 미환급금 돌려준다 | 서울특별시 미디어재단 TBS - TBS뉴스",https://news.google.com/rss/articles/CBMiT2h0dHA6Ly90YnMuc2VvdWwua3IvbmV3cy9uZXdzVmlldy5kbz90eXBfODAwPTcmaWR4XzgwMD0zNTEwMjUxJnNlcV84MDA9MjA1MDI5MzDSAQA?oc=5,2023-11-10 14:36:00,TBS뉴스
"프로농구 창원 LG, 부산 KCC 꺾고 5연승 신바람 : 네이트 스포츠 - 네이트",https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vc3BvcnRzLm5ld3MubmF0ZS5jb20vdmlldy8yMDIzMTExMW4wMDIxONIBAA?oc=5,2023-11-11 00:40:00,네이트
‘위기의 카카오’ 사법 리스크에 주가 급락…목표가↓ - 매일경제,https://news.google.com/rss/articles/CBMiKGh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvc3RvY2svMTA4NzExNDPSAR9odHRwczovL20ubWsuY28ua3IvYW1wLzEwODcxMTQz?oc=5,2023-11-10 08:19:46,매일경제
"'9회 오지환 3점포' LG, 역대급 시소게임 승리…2승 1패 우위 : 네이트 ... - 네이트",https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vc3BvcnRzLm5ld3MubmF0ZS5jb20vdmlldy8yMDIzMTExMW4wMDIxOdIBAA?oc=5,2023-11-11 00:40:00,네이트
경기도 양주 제조 공장에서 불…다친 사람 없어 - 네이트 뉴스,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTExbjAwNjY4P21pZD1uMDEwMNIBAA?oc=5,2023-11-11 03:39:00,네이트 뉴스
'하마스 지도자' 이스마일 하니예 손녀 공습에 숨진 듯 - 네이트 뉴스,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTExbjAwNjY1P21pZD1uMDEwMNIBAA?oc=5,2023-11-11 03:34:00,네이트 뉴스
"WHO ""소아암 어린이 12명 이집트·요르단으로 이송"" - 네이트 뉴스",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTExbjAwMjU3P21pZD1uMDEwMNIBAA?oc=5,2023-11-11 00:59:00,네이트 뉴스
서울지하철 1차 파업 종료…16일 이후 2차 파업 가능성 - 네이트 뉴스,https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjI2Mzk30gEA?oc=5,2023-11-10 18:09:00,네이트 뉴스
"[날씨] 다시 초겨울 추위…주말∼휴일, 서울 첫 영하권 - 네이트 뉴스",https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vbmV3cy5uYXRlLmNvbS93ZWF0aGVyL3ZpZXcvMjAyMzExMTFuMDAyODPSAQA?oc=5,2023-11-11 01:10:00,네이트 뉴스
여중생 폭행하고 속옷 차림 영상 찍은 청소년들 檢 송치 - 네이트 뉴스,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjMzMzUwP21pZD1uMDQwMNIBAA?oc=5,2023-11-10 23:04:00,네이트 뉴스
"경기도-경기교육청, 복지사각가구 발굴위해 힘모은다 - 아시아경제",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmFzaWFlLmNvLmtyL2FydGljbGUvMjAyMzExMTAxNDExMjM3MDkwOdIBAA?oc=5,2023-11-10 13:44:00,아시아경제
"유진이엔티, YTN 지분 31% 3199억 원에 취득 공시 - 네이트 뉴스",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjI2NTI3P21pZD1uMDMwMNIBAA?oc=5,2023-11-10 18:14:00,네이트 뉴스
[부산] 부산 '사랑의 김치 나눔 한마당'…4천7백 세대 전달 - 네이트 뉴스,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjIyNTQ1P21pZD1uMDQwMNIBAA?oc=5,2023-11-10 16:19:00,네이트 뉴스
외국인 매도세에…코스피 2400선 간신히 유지 - 네이트 뉴스,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjIyMjMwP21pZD1uMDEwMNIBAA?oc=5,2023-11-10 16:09:00,네이트 뉴스
"제주도, 2023대한민국 녹색경영대상 대통령 표창 - 네이트 뉴스",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjE4MTkyP21pZD1uMDQwMNIBAA?oc=5,2023-11-10 14:24:00,네이트 뉴스
은행연합회장 후보 윤종규·조용병 등 6명 선정 - 네이트 뉴스,https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjA5MDE10gEA?oc=5,2023-11-10 10:14:00,네이트 뉴스
눈 감고 나서야 이뤄진 '100만 유튜버'의 꿈...12살 소년의 생전 영상 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwNF8yMDIzMTExMTAxMzEyMTI5OTXSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDRfMjAyMzExMTEwMTMxMjEyOTk1?oc=5,2023-11-11 01:31:00,YTN
"아버지 살해하고 ""실종됐다"" 거짓 신고한 30대 검거 - 네이트 뉴스",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjEyNjgyP21pZD1uMDQwMNIBAA?oc=5,2023-11-10 11:29:00,네이트 뉴스
"경찰, '증거인멸 시도' 의심까지...지드래곤 권지용 측, 즉각 반발 [지금이 ... - MSN",https://news.google.com/rss/articles/CBMiwwJodHRwczovL3d3dy5tc24uY29tL2tvLWtyL25ld3Mvb3RoZXIvJUVBJUIyJUJEJUVDJUIwJUIwLSVFQyVBNiU5RCVFQSVCMSVCMCVFQyU5RCVCOCVFQiVBOSVCOC0lRUMlOEIlOUMlRUIlOEYlODQtJUVDJTlEJTk4JUVDJThCJUFDJUVBJUI5JThDJUVDJUE3JTgwLSVFQyVBNyU4MCVFQiU5MyU5QyVFQiU5RSU5OCVFQSVCMyVBNC0lRUElQjYlOEMlRUMlQTclODAlRUMlOUElQTktJUVDJUI4JUExLSVFQyVBNiU4OSVFQSVCMCU4MS0lRUIlQjAlOTglRUIlQjAlOUMtJUVDJUE3JTgwJUVBJUI4JTg4JUVDJTlEJUI0JUVCJTg5JUI0JUVDJThBJUE0LXl0bi92aS1BQTFqSTNJctIBAA?oc=5,2023-11-10 21:41:09,MSN
"내일, 서울 도심 대규모 집회…경찰, 불법 엄정 대응 - 네이트 뉴스",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjA4NzgxP21pZD1uMDQwMNIBAA?oc=5,2023-11-10 10:09:00,네이트 뉴스
포항 호미곶 앞바다서 어선 두 척 충돌…60대 선원 부상 - 네이트 뉴스,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjA5MjQ3P21pZD1uMDQwMNIBAA?oc=5,2023-11-10 10:19:00,네이트 뉴스
"국립대 사무국장직, 민간에 개방…""대학 자율성 강화"" - 네이트 뉴스",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjA3MDAyP21pZD1uMDQwMNIBAA?oc=5,2023-11-10 09:34:00,네이트 뉴스
"[게시판] KTV-전쟁기념사업회 업무협약…""홍보 채널 확대"" - 연합뉴스",https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjMxMTEwMDk0NTAwMDA10gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIzMTExMDA5NDUwMDAwNQ?oc=5,2023-11-10 14:17:06,연합뉴스
"바이든 ""중국 전기차 시장 장악 방치하지 않을 것"" - 네이트 뉴스",https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vbS5uZXdzLm5hdGUuY29tL3ZpZXcvMjAyMzExMTBuMDI4MjHSAQA?oc=5,2023-11-10 07:04:00,네이트 뉴스
"[인천] 인천, 도심 군부대 신속 이전 위한 그린벨트 개선 건의 - 네이트 뉴스",https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3cy5uYXRlLmNvbS92aWV3LzIwMjMxMTEwbjA5MjUxP21pZD1uMDQwMNIBAA?oc=5,2023-11-10 10:19:00,네이트 뉴스
"이재명 ""은행·정유사 사상 최고 수익...횡재세 추진"" / YTN - MSN",https://news.google.com/rss/articles/CBMi5wFodHRwczovL3d3dy5tc24uY29tL2tvLWtyL25ld3Mvb3RoZXIvJUVDJTlEJUI0JUVDJTlFJUFDJUVCJUFBJTg1LSVFQyU5RCU4MCVFRCU5NiU4OS0lRUMlQTAlOTUlRUMlOUMlQTAlRUMlODIlQUMtJUVDJTgyJUFDJUVDJTgzJTgxLSVFQyVCNSU5QyVFQSVCMyVBMC0lRUMlODglOTglRUMlOUQlQjUtJUVEJTlBJUExJUVDJTlFJUFDJUVDJTg0JUI4LSVFQyVCNiU5NCVFQyVBNyU4NC15dG4vdmktQUExakgxQTHSAQA?oc=5,2023-11-10 21:51:09,MSN
"오나라, 자리 비운 이찬원 대신해 '톡파원25시' 특별 MC 출격 - 뉴스1 - 뉴스1",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vd3d3Lm5ld3MxLmtyL2FydGljbGVzLz81MjI3Njk10gEqaHR0cHM6Ly93d3cubmV3czEua3IvYW1wL2FydGljbGVzLz81MjI3Njk1?oc=5,2023-11-10 17:31:19,뉴스1
[오늘의 영상] 코트여 안녕 - KBS뉴스,https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vbmV3cy5rYnMuY28ua3IvbmV3cy9wYy92aWV3L3ZpZXcuZG8_bmNkPTc4MTUyNDbSAQA?oc=5,2023-11-10 22:00:00,KBS뉴스
"이동관 ""野, 민심의 탄핵받을 것""...대통령실 '일단 침묵' / YTN - MSN",https://news.google.com/rss/articles/CBMi8AFodHRwczovL3d3dy5tc24uY29tL2tvLWtyL25ld3Mvb3RoZXIvJUVDJTlEJUI0JUVCJThGJTk5JUVBJUI0JTgwLSVFOSU4NyU4RS0lRUIlQUYlQkMlRUMlOEIlQUMlRUMlOUQlOTgtJUVEJTgzJTg0JUVEJTk1JUI1JUVCJUIwJTlCJUVDJTlEJTg0LSVFQSVCMiU4My0lRUIlOEMlODAlRUQlODYlQjUlRUIlQTAlQjklRUMlOEIlQTQtJUVDJTlEJUJDJUVCJThCJUE4LSVFQyVCOSVBOCVFQiVBQyVCNS15dG4vdmktQUExakU0Y3fSAQA?oc=5,2023-11-10 07:39:12,MSN
"얼리페이, 카카오 '주문하기 by(바이) 요기요' 매출 단독 선정산 - 머니투데이",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vbmV3cy5tdC5jby5rci9tdHZpZXcucGhwP25vPTIwMjMxMTEwMDk0ODUxNDkzNzHSAT1odHRwczovL20ubXQuY28ua3IvcmVuZXcvdmlld19hbXAuaHRtbD9ubz0yMDIzMTExMDA5NDg1MTQ5Mzcx?oc=5,2023-11-10 17:04:00,머니투데이
[단독] 노인 가방 훔쳐 달아난 50대…지나가던 수사관이 붙잡아 - KBS뉴스,https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vbmV3cy5rYnMuY28ua3IvbmV3cy9wYy92aWV3L3ZpZXcuZG8_bmNkPTc4MTQ4ODbSAQA?oc=5,2023-11-10 13:17:00,KBS뉴스
“뭘봐”라고 했던 남현희 대질신문 전 전청조가 경찰에게 한 말 - 매일경제,https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvc29jaWV0eS8xMDg3MTExMdIBH2h0dHBzOi8vbS5tay5jby5rci9hbXAvMTA4NzExMTE?oc=5,2023-11-10 07:48:10,매일경제
