title,link,published,source
"다니엘 린데만, 한독수교 140주년 기념 갈라 콘서트 사회자 발탁 - 데일리안",https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vbS5kYWlsaWFuLmNvLmtyL25ld3Mvdmlldy8xMjkzNzcy0gEA?oc=5,2023-11-10 16:14:00,데일리안
정식 론칭 5주년 '로스트아크'…신규 및 복귀 모험가 245% 상승 - 프레스맨,https://news.google.com/rss/articles/CBMiOGh0dHA6Ly93d3cucHJlc3NtYW4ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTczOTQx0gEA?oc=5,2023-11-10 09:08:35,프레스맨
나라장터 이용법 유튜브에서 쉽고 편하게 배우세요 - 연합뉴스,https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjMxMTEwMDY3NjAwMDYz0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIzMTExMDA2NzYwMDA2Mw?oc=5,2023-11-10 11:15:23,연합뉴스
"링크플로우 “세계 최초 360도 웨어러블 넥밴드 카메라로 개인의 경험 ... - 헬로티 – 매일 만나는 첨단 산업, IT 소식",https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LmhlbGxvdC5uZXQvbmV3cy9hcnRpY2xlLmh0bWw_bm89ODM4OTbSAQA?oc=5,2023-11-10 09:32:25,"헬로티 – 매일 만나는 첨단 산업, IT 소식"
“가장 부유한 여성 이부진입니다” 유명인 사칭 투자광고 기승 - 주간조선,https://news.google.com/rss/articles/CBMiOmh0dHA6Ly93ZWVrbHkuY2hvc3VuLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MzAxMDnSAT1odHRwOi8vd2Vla2x5LmNob3N1bi5jb20vbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTMwMTA5?oc=5,2023-11-10 20:12:54,주간조선
"대통령 거부권 요청 공식화‥""습관적 거부권 행사"" - MBC 뉴스",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIzL253ZGVzay9hcnRpY2xlLzY1NDIzNDdfMzYxOTkuaHRtbNIBRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIzL253ZGVzay9hcnRpY2xlLzY1NDIzNDdfMzYyMDAuaHRtbA?oc=5,2023-11-10 19:48:23,MBC 뉴스
"카카오 목표주가 23% 내렸지만…""수익성 개선 이어질 것""-미래에셋 - 머니투데이",https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vbmV3cy5tdC5jby5rci9tdHZpZXcucGhwP25vPTIwMjMxMTEwMDgzODEyMjI2MTcmVk1L0gE9aHR0cHM6Ly9tLm10LmNvLmtyL3JlbmV3L3ZpZXdfYW1wLmh0bWw_bm89MjAyMzExMTAwODM4MTIyMjYxNw?oc=5,2023-11-10 08:54:28,머니투데이
이효리 “이상순과 행복하지만 키스 안 한지 1년 넘었다” 왜? - 조선일보,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmNob3N1bi5jb20vZW50ZXJ0YWlubWVudHMvYnJvYWRjYXN0LzIwMjMvMTEvMTAvUUFDRko3NUpCVkRMVEw1T0VYUjRVRDNUMk0v0gFlaHR0cHM6Ly93d3cuY2hvc3VuLmNvbS9lbnRlcnRhaW5tZW50cy9icm9hZGNhc3QvMjAyMy8xMS8xMC9RQUNGSjc1SkJWRExUTDVPRVhSNFVEM1QyTS8_b3V0cHV0VHlwZT1hbXA?oc=5,2023-11-10 08:24:00,조선일보
[영상] 입동 지나자 매서운 추위...주말에 더 춥다 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwOF8yMDIzMTExMDE0MTUwNDY4MDnSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDhfMjAyMzExMTAxNDE1MDQ2ODA5?oc=5,2023-11-10 14:15:00,YTN
"""청소할 때 빼고 한 번도 변기 커버를 올린 적 없는데...소름"" [지금이 ... - MSN",https://news.google.com/rss/articles/CBMiswJodHRwczovL3d3dy5tc24uY29tL2tvLWtyL25ld3Mvb3RoZXIvJUVDJUIyJUFEJUVDJTg2JThDJUVEJTk1JUEwLSVFQiU5NSU4Qy0lRUIlQjklQkMlRUElQjMlQTAtJUVEJTk1JTlDLSVFQiVCMiU4OCVFQiU4RiU4NC0lRUIlQjMlODAlRUElQjglQjAtJUVDJUJCJUE0JUVCJUIyJTg0JUVCJUE1JUJDLSVFQyU5OCVBQyVFQiVBNiVCMC0lRUMlQTAlODEtJUVDJTk3JTg2JUVCJThBJTk0JUVCJThEJUIwLSVFQyU4NiU4QyVFQiVBNiU4NC0lRUMlQTclODAlRUElQjglODglRUMlOUQlQjQlRUIlODklQjQlRUMlOEElQTQteXRuL3ZpLUFBMWpINWNE0gEA?oc=5,2023-11-11 00:56:09,MSN
인천 제2경인고속도로 달리던 승합차 화재 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwM18yMDIzMTExMTAwMTYzNDU2NzTSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDNfMjAyMzExMTEwMDE2MzQ1Njc0?oc=5,2023-11-11 00:16:00,YTN
집 찾아온 어머니 흉기로 찌른 20대 구속 송치 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwM18yMDIzMTExMDE2MjIzODYyOTfSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDNfMjAyMzExMTAxNjIyMzg2Mjk3?oc=5,2023-11-10 16:22:00,YTN
"추경호 ""상속세 한번 건드릴 때...개편안 내면 뒷받침"" - YTN",https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwMV8yMDIzMTExMTAxNTUxNTgzMjjSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDFfMjAyMzExMTEwMTU1MTU4MzI4?oc=5,2023-11-11 01:55:00,YTN
"미중 정상 15일 회담...미 ""한반도 비핵화 의지 밝힐 것"" - YTN",https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwNF8yMDIzMTExMDIyNTkyNzE1OTbSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDRfMjAyMzExMTAyMjU5MjcxNTk2?oc=5,2023-11-10 22:59:00,YTN
요즘 유행은 '공중 부양'?...관종 스텝 '슬릭백' 열풍 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwNl8yMDIzMTExMTAwMjQzNDMwNTnSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDZfMjAyMzExMTEwMDI0MzQzMDU5?oc=5,2023-11-11 00:24:00,YTN
경찰 신분 내세워 주점에서 술값 안 낸 경장 구속 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDExNV8yMDIzMTExMDEwMjkzNTMyNTDSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMTVfMjAyMzExMTAxMDI5MzUzMjUw?oc=5,2023-11-10 10:29:00,YTN
경북 봉화 단독주택에서 방화 추정 불...재산 피해 4천800만 원 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDExNV8yMDIzMTExMDA5NDgyMTc2MzfSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMTVfMjAyMzExMTAwOTQ4MjE3NjM3?oc=5,2023-11-10 09:48:00,YTN
차선 바꾸다 차량 2대와 잇따라 충돌...50대 숨져 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDExNV8yMDIzMTExMDA5NDcyMTg5MjDSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMTVfMjAyMzExMTAwOTQ3MjE4OTIw?oc=5,2023-11-10 09:47:00,YTN
"태풍 복구 작업 중 숨진 70대...2심도 ""구청 배상책임 없어"" - YTN",https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwM18yMDIzMTExMDE2MTcwNDM4NzXSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDNfMjAyMzExMTAxNjE3MDQzODc1?oc=5,2023-11-10 16:17:00,YTN
지난달 채권금리 큰 폭 상승...회사채 발행 줄어 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwMl8yMDIzMTExMDExMDI1MDE0NjjSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDJfMjAyMzExMTAxMTAyNTAxNDY4?oc=5,2023-11-10 11:02:00,YTN
빈대 '대체 살충제' 8종 긴급 사용승인...가정에선 사용 불가 - YTN,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwM18yMDIzMTExMDExMDEyNTI5MTPSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDNfMjAyMzExMTAxMTAxMjUyOTEz?oc=5,2023-11-10 11:01:00,YTN
"의협, 의대 증원 주장한 김윤 교수 징계 추진 - YTN",https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwM18yMDIzMTExMDA5MzUzMzkwMTfSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDNfMjAyMzExMTAwOTM1MzM5MDE3?oc=5,2023-11-10 09:35:00,YTN
"김하성, 실버슬러거 수상 실패...벨린저 유틸리티 부문 수상 - YTN",https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwN18yMDIzMTExMDA5MjYzNDUwNjfSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDdfMjAyMzExMTAwOTI2MzQ1MDY3?oc=5,2023-11-10 09:26:00,YTN
[#it라운지] '틱톡 스테이지 THE SHOUT' 성료·크몽 '빈대포비아 해결'·채널톡 'CX 세미나' - 뉴스웍스,https://news.google.com/rss/articles/CBMiPWh0dHA6Ly93d3cubmV3c3dvcmtzLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz03MzMyMDPSAUBodHRwOi8vd3d3Lm5ld3N3b3Jrcy5jby5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NzMzMjAz?oc=5,2023-11-10 18:50:18,뉴스웍스
"한양 '수자인', 모바일 서비스 강화한다 - 파이낸셜뉴스",https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vd3d3LmZubmV3cy5jb20vbmV3cy8yMDIzMTEwOTE3MjIxNDI4MDbSATFodHRwczovL3d3dy5mbm5ld3MuY29tL2FtcE5ld3MvMjAyMzExMDkxNzIyMTQyODA2?oc=5,2023-11-10 08:26:00,파이낸셜뉴스
"이스라엘군, 병원 잇단 공습...탱크도 병원 코앞 - ZUM 뉴스",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODkzOTM10gEA?oc=5,2023-11-10 18:21:35,ZUM 뉴스
"""가족·친구 교류 없으면 조기 사망 위험 39%↑"" - ZUM 뉴스",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODkwMTQ00gEA?oc=5,2023-11-10 15:55:37,ZUM 뉴스
"미 당국자 ""가자지구 사상자, 하마스 집계보다 훨씬 많을 수도"" - ZUM 뉴스",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODgxNDQ00gEA?oc=5,2023-11-10 10:18:59,ZUM 뉴스
번식장에서 태어나 평생 뜬장서 번식견으로 살아온 타카 [함께할개] - 위키트리,https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3Lndpa2l0cmVlLmNvLmtyL2FydGljbGVzLzkwMTMxM9IBAA?oc=5,2023-11-10 15:59:00,위키트리
혼다 美공장 임금 11% 인상…전미車노조 '파업승리' 영향 - ZUM 뉴스,https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODk5MjA4P2NtPWVudGVydGFpbl9ob21lX3JhbmvSAQA?oc=5,2023-11-11 01:40:32,ZUM 뉴스
"LS그룹 창립 20주년, 기념행사 대신 사회에 기부해 - 이코노미톡뉴스",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmVjb25vbXl0YWxrLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0yNDUzNDnSAQA?oc=5,2023-11-10 12:00:27,이코노미톡뉴스
시구 나선 조범현 전 감독 - ZUM 뉴스,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODk0MjI10gEA?oc=5,2023-11-10 18:40:49,ZUM 뉴스
겨울에 피는 장미 보셨나요…유럽장미 개화 시작 - ZUM 뉴스,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODgyNzYy0gEA?oc=5,2023-11-10 10:56:45,ZUM 뉴스
"한강 '작별하지 않는다', 메디치 외국문학상 수상 - ZUM 뉴스",https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODc5MDU50gEA?oc=5,2023-11-10 09:15:56,ZUM 뉴스
생각에 잠긴 이동관 방송통신위원회 위원장 - ZUM 뉴스,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODgwMDA40gEA?oc=5,2023-11-10 09:40:26,ZUM 뉴스
후쿠시마 원전 오염수 방류 관련 브리핑 - ZUM 뉴스,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODgzNzY50gEA?oc=5,2023-11-10 11:25:35,ZUM 뉴스
'겨울오기 전에' 단무지용 무 수확 - ZUM 뉴스,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODg2OTky0gEA?oc=5,2023-11-10 13:51:16,ZUM 뉴스
'제1회 삼성 CSR의 날' 행사에서 발표하는 최주호 삼성복합단지장 - ZUM 뉴스,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy56dW0uY29tL2FydGljbGVzLzg2ODkxNDE40gEA?oc=5,2023-11-10 16:40:12,ZUM 뉴스
